id,created_at,city,state,income,interests,donation_budget,engagement_prefs,first_name,last_name
38,2020-05-27T09:52:54.715074,West Robertside,NY,50000,"[""sustainable agriculture"", ""animals"", ""criminal justice reform""]",1983,"[""donate"", ""fundraise""]",Nicole,Garcia
39,2022-12-16T02:18:01.021473,New Jeffrey,NY,100000,"[""land trust""]",2681,"[""volunteer""]",Sara,Keller
40,2024-12-19T13:21:44.913151,West Brittany,GA,250000,"[""workforce development"", ""LGBTQ+ services""]",10786,"[""fundraise"", ""volunteer""]",Megan,Knight
41,2021-03-09T12:50:53.775552,Nicoleview,FL,250000,"[""civic engagement"", ""botanical gardens""]",3245,"[""fundraise"", ""advocacy""]",Jeffery,Garrett
42,2025-08-15T01:12:06.890148,North Gerald,NY,250000,"[""criminal justice reform"", ""land trust""]",12244,"[""donate"", ""volunteer""]",Julie,Bennett
43,2024-12-06T07:47:39.387864,Benjaminland,NY,150000,"[""human rights"", ""refugee assistance"", ""public policy""]",2764,"[""fundraise"", ""advocacy""]",Kendra,Cooper
44,2023-11-10T04:51:31.054452,Marcville,NY,150000,"[""climate"", ""ocean conservation"", ""public broadcasting""]",2563,"[""advocacy""]",Cassandra,Zimmerman
45,2022-09-29T23:19:20.316489,Tylerchester,GA,150000,"[""women's empowerment""]",6737,"[""fundraise""]",Emily,Rose
46,2021-01-30T22:58:33.157034,New Erica,WA,25000,"[""poverty""]",839,"[""volunteer""]",Justin,Vincent
47,2023-09-06T14:32:53.866808,Michaelfurt,TX,25000,"[""poverty"", ""public broadcasting"", ""nature""]",342,"[""fundraise"", ""donate""]",Kendra,Reyes
48,2025-07-04T08:58:54.323615,Robertborough,IL,100000,"[""peacebuilding"", ""human rights"", ""medical research""]",4671,"[""fundraise""]",John,Marshall
49,2023-08-30T04:39:39.606224,Karenshire,CA,25000,"[""environmental justice""]",809,"[""donate"", ""volunteer""]",Angela,Evans
50,2021-04-01T18:17:49.864499,North Monicaton,MA,250000,"[""veteran affairs"", ""disability rights"", ""consumer protection""]",10198,"[""advocacy"", ""fundraise""]",Jose,Davis
51,2023-01-25T09:24:29.102689,Dustinmouth,MA,100000,"[""community development"", ""public broadcasting"", ""criminal justice reform""]",1090,"[""donate"", ""fundraise""]",Amanda,Moore
52,2024-09-13T11:53:57.417468,Markport,NY,100000,"[""volunteerism"", ""women's empowerment""]",1496,"[""advocacy"", ""fundraise""]",Billy,Lopez
53,2020-06-07T14:42:32.227171,Wilsonmouth,WA,25000,"[""environmental law""]",918,"[""advocacy"", ""fundraise""]",Larry,Alexander
54,2024-07-25T02:32:43.821625,New Lukebury,NY,150000,"[""arts""]",5264,"[""fundraise"", ""donate""]",Kimberly,Martin
55,2020-01-21T13:56:50.628576,New Jenniferton,TX,250000,"[""nature"", ""climate""]",9965,"[""donate"", ""fundraise""]",Jorge,Benson
56,2020-03-21T15:09:00.644615,Lake Theresaborough,CA,150000,"[""reforestation"", ""arts""]",4833,"[""fundraise"", ""donate""]",Jessica,Wagner
57,2021-03-18T17:56:58.786425,Hebertburgh,GA,50000,"[""environment"", ""land trust"", ""journalism""]",2127,"[""fundraise"", ""volunteer""]",Lauren,Webster
58,2022-01-20T16:22:43.067039,South Vincent,MA,25000,"[""reforestation"", ""consumer protection""]",747,"[""donate"", ""fundraise""]",Catherine,Dalton
59,2024-05-12T20:55:01.740141,Johnstonmouth,GA,150000,"[""youth developmenthabitat restoration""]",3933,"[""advocacy""]",Courtney,Cook
60,2022-10-25T17:38:25.968139,Lake Rachelville,MA,50000,"[""refugee assistance"", ""wildlife""]",1190,"[""advocacy"", ""donate""]",Jamie,Thomas
61,2024-02-05T19:57:11.923606,New Brianton,GA,25000,"[""nature"", ""poverty""]",454,"[""advocacy"", ""donate""]",Todd,Carr
62,2025-06-10T20:07:49.912885,Hendersonhaven,CA,75000,"[""LGBTQ+ services""]",2443,"[""fundraise""]",Suzanne,Sullivan
63,2023-02-05T02:21:07.618457,Chasemouth,FL,150000,"[""biodiversity"", ""legal aid"", ""culture""]",3494,"[""advocacy""]",Tricia,Meyer
64,2023-02-12T19:37:07.539074,Port Courtney,NC,75000,"[""animals"", ""conservation""]",811,"[""volunteer""]",Angela,Wong
65,2022-12-05T06:35:44.447687,Hoovermouth,OH,150000,"[""environment""]",6731,"[""advocacy""]",Scott,Parks
66,2021-02-03T16:35:20.940622,Dominguezbury,FL,100000,"[""youth developmenthabitat restoration""]",4764,"[""fundraise"", ""donate""]",Tina,Allen
67,2023-09-08T18:55:57.825997,Smithtown,IL,25000,"[""historic preservation"", ""marine conservation"", ""climate""]",860,"[""advocacy"", ""volunteer""]",Amy,Rasmussen
68,2025-05-06T14:06:02.783209,Port Wendy,WA,250000,"[""wildlife"", ""social justice"", ""botanical gardens""]",11416,"[""fundraise"", ""donate""]",Linda,Lawson
69,2024-11-15T19:01:00.696045,Sparksshire,MA,250000,"[""housing"", ""ocean conservation""]",2797,"[""volunteer""]",Christopher,Lyons
70,2025-03-07T13:15:26.365890,Port Heather,FL,150000,"[""animals""]",4037,"[""advocacy"", ""fundraise""]",Joseph,Sandoval
71,2020-02-20T21:43:22.549725,Port Briana,TX,250000,"[""volunteerism""]",9716,"[""advocacy"", ""volunteer""]",Lisa,Kline
72,2025-01-01T02:20:43.425115,Jasonshire,TX,250000,"[""environment""]",8398,"[""donate""]",Amy,Walker
73,2023-10-04T22:44:53.012051,Mcintoshchester,TX,25000,"[""refugee assistance""]",1029,"[""advocacy"", ""fundraise""]",Kimberly,Guzman
74,2024-03-27T23:20:37.482252,Floydland,GA,250000,"[""botanical gardens"", ""women's empowerment"", ""pollinator protection""]",2734,"[""volunteer""]",Ryan,Manning
75,2021-12-28T07:20:04.444841,Haileyburgh,TX,25000,"[""international development"", ""legal aid""]",1147,"[""advocacy"", ""fundraise""]",Samantha,Kim
76,2021-01-31T07:38:38.798500,Saraville,MA,75000,"[""LGBTQ+ services"", ""housing""]",788,"[""advocacy"", ""fundraise""]",Antonio,Bell
77,2025-03-31T17:43:47.662193,Carolfurt,WA,100000,"[""senior services"", ""marine conservation""]",4198,"[""advocacy"", ""volunteer""]",Joseph,Scott
78,2024-09-10T05:34:13.241557,West Kristi,OH,25000,"[""youth developmenthabitat restoration"", ""hunger"", ""financial literacy""]",642,"[""donate""]",Dawn,Jones
79,2024-11-14T11:24:49.093804,Harrisside,WA,75000,"[""medical research"", ""disability rights"", ""consumer protection""]",1192,"[""fundraise"", ""donate""]",Zachary,Stevens
80,2020-01-27T04:36:04.047321,North Jaredview,CA,150000,"[""legal aid"", ""historic preservation""]",3440,"[""fundraise"", ""volunteer""]",Emily,Bell
81,2024-07-16T16:41:25.832056,Port Ricardo,NY,100000,"[""scientific research""]",4738,"[""fundraise""]",Thomas,Castillo
82,2024-06-14T10:56:39.008189,North Joshuastad,FL,250000,"[""technology access"", ""volunteerism""]",7777,"[""fundraise""]",Jean,Davis
83,2022-04-25T16:40:18.170897,New Brittany,TX,25000,"[""disability rights""]",1175,"[""volunteer"", ""fundraise""]",Lauren,Morgan
84,2025-08-10T17:43:45.590784,Mercerville,CA,50000,"[""sustainable agriculture"", ""consumer protection""]",843,"[""volunteer""]",Leslie,West
85,2024-11-14T08:56:28.932112,New Robert,CA,100000,"[""watershed protection"", ""senior services""]",4651,"[""fundraise""]",Andrew,Roberts
86,2024-07-06T09:33:26.166325,Yatesshire,TX,25000,"[""environmental law"", ""immigrant services"", ""journalism""]",829,"[""fundraise""]",John,Mckenzie
87,2022-06-15T18:57:21.568077,Cohenstad,MA,150000,"[""social justice""]",4817,"[""advocacy""]",Michael,Frazier
88,2021-10-20T15:46:43.314937,Garciafort,NC,75000,"[""ocean conservation""]",1502,"[""donate"", ""fundraise""]",Victoria,Ashley
89,2020-07-30T21:58:50.739398,Lake Shirley,IL,50000,"[""volunteerism"", ""pollinator protection""]",1150,"[""volunteer""]",Susan,Washington
90,2022-07-04T19:44:29.421274,Lake Tylermouth,TX,150000,"[""river conservation"", ""youth developmenthabitat restoration""]",2068,"[""donate""]",Heather,Kaiser
91,2024-05-09T18:56:23.288738,Lake Jamesland,OH,75000,"[""culture"", ""arts"", ""medical research""]",2227,"[""advocacy""]",Gregory,Allen
92,2020-04-28T10:55:17.030916,Port Yvonneside,CA,250000,"[""volunteerism"", ""women's empowerment"", ""hunger""]",3564,"[""fundraise"", ""donate""]",Samantha,Bowen
93,2020-09-03T15:15:33.192738,Guzmanbury,FL,100000,"[""culture""]",3569,"[""donate""]",David,Hernandez
94,2021-09-20T04:08:44.454384,South Hannahmouth,MA,150000,"[""watershed protection"", ""biodiversity""]",6970,"[""fundraise""]",Derrick,Jackson
95,2025-07-18T02:40:57.785808,South Robertmouth,FL,100000,"[""public policy""]",1346,"[""advocacy"", ""donate""]",Kristen,Potts
96,2024-11-30T23:40:34.613857,North Courtneyborough,WA,25000,"[""land trust"", ""public broadcasting""]",986,"[""fundraise"", ""advocacy""]",Maurice,Miller
97,2021-06-15T08:51:54.779078,Jennyberg,NY,25000,"[""financial literacy"", ""immigrant services""]",470,"[""fundraise"", ""volunteer""]",Philip,Pittman
98,2020-05-09T15:18:01.008623,West Madisonshire,NC,100000,"[""international development""]",3721,"[""volunteer"", ""fundraise""]",Joseph,Curtis
99,2022-09-14T00:31:56.674650,Williamport,FL,50000,"[""consumer protection""]",583,"[""fundraise"", ""donate""]",Aaron,Austin
100,2025-07-01T11:55:31.785205,Melissaview,OH,75000,"[""peacebuilding"", ""endangered species"", ""senior services""]",1760,"[""fundraise""]",David,Daugherty
101,2024-12-24T22:01:53.368458,Daniellehaven,TX,75000,"[""scientific research""]",2931,"[""donate""]",Carlos,Cantrell
102,2025-05-14T11:09:05.428464,Brendaborough,GA,100000,"[""workforce development"", ""ocean conservation"", ""international development""]",1375,"[""fundraise"", ""volunteer""]",Andrew,Moore
103,2022-11-16T15:29:44.867509,Port Zoehaven,FL,75000,"[""botanical gardens"", ""environmental justice"", ""economic development""]",976,"[""fundraise"", ""volunteer""]",Bobby,Robinson
104,2025-03-01T07:10:44.063430,Romeroton,TX,75000,"[""housing""]",1838,"[""donate"", ""advocacy""]",Howard,Mathews
105,2023-12-01T16:18:07.618181,Lake Katie,OH,250000,"[""education"", ""reforestation""]",2592,"[""fundraise"", ""advocacy""]",William,Perez
106,2020-08-31T02:33:33.557059,North Melissa,NC,100000,"[""financial literacy""]",2817,"[""volunteer""]",Travis,Hayes
107,2020-04-15T20:38:04.965634,Elizabethmouth,MA,250000,"[""housing"", ""disaster relief""]",2959,"[""donate"", ""fundraise""]",Krista,Guzman
108,2020-08-03T19:57:21.889253,Kathleenmouth,NC,25000,"[""veteran affairs"", ""criminal justice reform""]",1091,"[""volunteer""]",Lisa,Dudley
109,2021-06-24T10:28:48.755414,West Melissashire,IL,50000,"[""watershed protection"", ""arts"", ""senior services""]",2427,"[""fundraise"", ""volunteer""]",Allison,Clark
110,2025-07-09T03:41:11.306819,Andrewsland,WA,75000,"[""health"", ""human rights"", ""consumer protection""]",3671,"[""donate""]",Anne,Gordon
111,2023-12-05T08:04:56.211675,East David,FL,50000,"[""journalism"", ""endangered species"", ""historic preservation""]",2370,"[""fundraise""]",Alejandro,Crawford
112,2023-04-05T23:03:40.016842,Christinaland,NC,250000,"[""public policy"", ""culture"", ""watershed protection""]",12070,"[""fundraise""]",Charles,Waller
113,2023-01-04T13:15:49.326188,Finleychester,TX,150000,"[""biodiversity"", ""mental health""]",5991,"[""volunteer""]",Mary,Bush
114,2020-03-10T18:52:44.503402,Lake Rachel,NC,25000,"[""LGBTQ+ services""]",1165,"[""fundraise""]",Sandra,Myers
115,2021-03-22T05:25:47.427874,North Carolyn,WA,25000,"[""wildlife""]",699,"[""fundraise""]",Matthew,Johnson
116,2021-03-12T04:41:14.376153,Daveborough,OH,50000,"[""international development"", ""public broadcasting""]",787,"[""volunteer""]",Michelle,Lang
117,2020-03-27T10:07:38.382240,Nicholsonville,NC,250000,"[""LGBTQ+ services""]",5624,"[""donate"", ""volunteer""]",Natalie,Schroeder
118,2023-09-02T19:22:30.924940,Caitlinchester,CA,50000,"[""housing"", ""youth developmenthabitat restoration""]",2259,"[""volunteer"", ""advocacy""]",Jimmy,West
119,2025-01-21T21:05:15.207691,South Briantown,WA,25000,"[""disaster relief"", ""civic engagement"", ""immigrant services""]",429,"[""volunteer""]",Bruce,Sanders
120,2022-05-09T04:46:59.147590,Ashleyhaven,CA,150000,"[""watershed protection""]",5159,"[""fundraise"", ""advocacy""]",David,Wilcox
121,2024-12-10T09:49:05.770604,Larryton,IL,25000,"[""environment""]",810,"[""volunteer"", ""advocacy""]",Christopher,Baldwin
122,2023-12-31T19:00:38.737005,Hardyland,TX,100000,"[""senior services""]",2211,"[""fundraise"", ""volunteer""]",Brian,Erickson
123,2023-09-09T22:29:15.825279,Zamorabury,CA,150000,"[""environment"", ""scientific research""]",6695,"[""advocacy"", ""donate""]",Amy,Swanson
124,2021-11-25T01:22:14.318100,West Douglasland,MA,100000,"[""veteran affairs"", ""human rights"", ""refugee assistance""]",3240,"[""volunteer"", ""advocacy""]",John,Finley
125,2021-02-18T02:59:08.293805,North Paulhaven,WA,100000,"[""health"", ""sustainable agriculture""]",2741,"[""advocacy""]",Peggy,Mcgee
126,2023-07-31T18:49:15.787498,North Tiffanyberg,FL,50000,"[""social justice""]",1584,"[""fundraise""]",Amanda,Schwartz
127,2023-03-18T05:08:13.362114,Jonesfort,NC,100000,"[""historic preservation"", ""arts""]",2014,"[""donate""]",Andrea,Parker
128,2020-08-16T10:20:08.971924,Lake Tammie,TX,50000,"[""reforestation"", ""wildlife"", ""medical research""]",1498,"[""fundraise"", ""donate""]",Kathryn,Lynch
129,2022-11-24T11:27:36.377626,Sherylborough,IL,25000,"[""human rights"", ""scientific research""]",359,"[""volunteer"", ""advocacy""]",Christine,Mora
130,2025-03-20T09:30:31.852341,Morganchester,OH,75000,"[""arts"", ""refugee assistance"", ""youth developmenthabitat restoration""]",3029,"[""fundraise""]",Veronica,Smith
131,2024-09-12T20:13:15.129862,Lake Jamieburgh,IL,50000,"[""conservation"", ""ocean conservation""]",1888,"[""advocacy""]",Christopher,Gardner
132,2021-08-03T06:34:24.754963,New Lesliefurt,FL,250000,"[""environmental justice""]",10030,"[""donate""]",Travis,Osborne
133,2025-09-06T18:21:13.797994,Port John,NC,75000,"[""environmental law""]",2145,"[""donate"", ""advocacy""]",Angela,Scott
134,2021-12-20T06:07:48.806709,Taylorside,NC,250000,"[""culture""]",3563,"[""advocacy"", ""volunteer""]",Stephanie,Soto
135,2022-08-11T13:03:03.139762,North Katherine,IL,250000,"[""botanical gardens""]",5854,"[""donate"", ""advocacy""]",Robert,Wang
136,2022-03-07T02:43:33.784580,North Jeff,IL,75000,"[""park stewardship"", ""human rights"", ""women's empowerment""]",3575,"[""volunteer""]",Michael,Swanson
137,2021-04-26T11:54:24.995419,Mirandabury,GA,250000,"[""technology access"", ""peacebuilding"", ""arts""]",10220,"[""donate""]",Kevin,Benton
138,2025-08-02T08:29:42.447776,Taylorbury,WA,150000,"[""medical research""]",3700,"[""volunteer""]",Megan,Richard
139,2022-03-29T18:27:26.358906,Riveraborough,WA,100000,"[""environmental law""]",4454,"[""volunteer"", ""advocacy""]",Tracy,Evans
140,2024-11-29T05:40:25.574431,Kristentown,OH,150000,"[""environment""]",6117,"[""volunteer"", ""advocacy""]",Donald,Gutierrez
141,2021-01-24T08:28:32.420010,West Mallory,MA,25000,"[""immigrant services"", ""nature"", ""criminal justice reform""]",443,"[""donate""]",Tara,French
142,2020-06-27T16:51:53.312610,Lake Charles,GA,50000,"[""animals"", ""park stewardship"", ""senior services""]",2373,"[""fundraise"", ""volunteer""]",Dave,Chavez
143,2021-06-24T23:53:55.981188,West Vanessa,NC,150000,"[""technology access"", ""journalism"", ""peacebuilding""]",4529,"[""donate""]",Steven,Martin
144,2020-02-26T17:32:26.674029,Sarahland,FL,50000,"[""women's empowerment"", ""workforce development""]",1496,"[""advocacy"", ""donate""]",Kristin,Santos
145,2021-08-25T12:38:30.258614,Christinamouth,WA,100000,"[""technology access""]",3096,"[""fundraise""]",Madison,Newton
146,2022-11-13T23:20:35.645363,Davisside,MA,150000,"[""hunger"", ""endangered species""]",1816,"[""fundraise""]",Ryan,Fry
147,2023-03-22T15:19:45.794005,Wolffurt,IL,250000,"[""biodiversity""]",11348,"[""volunteer"", ""fundraise""]",Anne,Dixon
148,2023-01-08T21:52:49.093571,East Marissastad,NC,150000,"[""disaster relief""]",2136,"[""fundraise""]",Kathryn,Hernandez
149,2022-11-17T12:06:48.606976,Scottland,TX,25000,"[""housing"", ""sustainable agriculture"", ""volunteerism""]",1088,"[""donate"", ""fundraise""]",Carl,Clayton
150,2023-08-22T10:47:00.720308,Brownport,NC,250000,"[""disaster relief""]",12256,"[""fundraise"", ""donate""]",Kristina,Bryant
151,2021-01-20T12:25:45.379130,Chapmanland,IL,75000,"[""peacebuilding""]",2409,"[""advocacy"", ""fundraise""]",Kristen,Ruiz
152,2024-11-24T07:52:08.118153,East Frankborough,GA,150000,"[""biodiversity""]",2309,"[""donate""]",Tracy,Stevenson
153,2020-08-17T04:10:10.328013,Lake Sheila,CA,25000,"[""criminal justice reform"", ""culture""]",906,"[""fundraise""]",Danny,Robinson
154,2023-11-16T07:15:00.766886,Patrickstad,NC,25000,"[""housing"", ""endangered species"", ""senior services""]",488,"[""advocacy"", ""donate""]",John,Roberts
155,2020-10-24T16:16:50.588787,Port Taylor,GA,250000,"[""technology access"", ""pollinator protection"", ""volunteerism""]",11199,"[""volunteer"", ""advocacy""]",Laura,Wright
156,2022-05-31T00:58:50.853081,Lake Zacharyport,GA,250000,"[""peacebuilding""]",4198,"[""fundraise""]",Garrett,English
157,2024-07-08T18:09:58.943629,Christopherport,OH,25000,"[""journalism"", ""arts"", ""senior services""]",1099,"[""fundraise""]",Andrew,Mccoy
158,2024-01-29T03:01:30.506191,Lake Thomas,MA,150000,"[""legal aid"", ""senior services"", ""economic development""]",6678,"[""volunteer""]",Corey,Evans
159,2025-08-27T13:40:52.306849,Jamesmouth,MA,150000,"[""environment"", ""senior services""]",1796,"[""volunteer""]",Stephen,Burns
160,2021-06-08T10:09:19.367620,Sanchezfort,FL,100000,"[""environment"", ""land trust"", ""veteran affairs""]",4588,"[""donate""]",Steven,Frey
161,2023-07-21T01:43:49.665350,West Kayla,IL,75000,"[""youth developmenthabitat restoration"", ""conservation""]",3482,"[""fundraise""]",Joshua,Brown
162,2025-06-10T04:19:50.313799,South Sean,CA,100000,"[""disability rights"", ""financial literacy""]",4504,"[""volunteer"", ""donate""]",Amy,Foster
163,2023-10-20T08:55:17.862707,East Garretttown,WA,75000,"[""climate"", ""criminal justice reform""]",2826,"[""donate"", ""fundraise""]",Heather,Jenkins
164,2020-04-16T04:18:36.784468,Kristinberg,FL,250000,"[""arts"", ""human rights""]",9740,"[""volunteer""]",Samantha,Lozano
165,2020-07-13T18:48:22.923773,Jacksonborough,NC,100000,"[""conservation"", ""ocean conservation"", ""volunteerism""]",3423,"[""advocacy""]",Sylvia,Montoya
166,2023-06-03T18:16:12.541478,Mollytown,CA,50000,"[""journalism""]",1512,"[""volunteer"", ""advocacy""]",Jaime,Mckenzie
167,2021-02-18T17:11:33.466727,North Alexandraborough,TX,75000,"[""pollinator protection"", ""land trust""]",2743,"[""volunteer"", ""donate""]",Erin,Velez
168,2024-06-17T15:33:01.591222,Dayfurt,MA,100000,"[""environmental justice"", ""watershed protection"", ""medical research""]",1719,"[""donate"", ""advocacy""]",Blake,Perkins
169,2023-04-16T11:26:54.866383,Martinezland,TX,100000,"[""botanical gardens"", ""nature"", ""conservation""]",1519,"[""volunteer""]",Jose,Nunez
170,2020-11-21T02:15:32.534525,Michaelhaven,TX,25000,"[""conservation"", ""nature""]",1064,"[""donate"", ""advocacy""]",Timothy,Jones
171,2024-05-28T07:23:23.578694,Kellyview,WA,50000,"[""public broadcasting"", ""mental health"", ""technology access""]",763,"[""volunteer""]",Casey,Carpenter
172,2021-06-23T01:21:00.368735,Port Douglasside,MA,25000,"[""community development""]",1057,"[""donate""]",Kristi,Welch
173,2022-11-12T10:05:05.808480,Smithtown,NC,50000,"[""immigrant services"", ""peacebuilding""]",1697,"[""volunteer"", ""advocacy""]",Natasha,Ortiz
174,2024-09-12T11:18:01.695195,Thompsonfort,FL,75000,"[""marine conservation""]",3456,"[""donate""]",Jenna,Wilson
175,2020-04-08T21:27:21.438705,Port Samanthastad,IL,150000,"[""economic development"", ""historic preservation""]",7044,"[""fundraise""]",Carol,Riley
176,2022-06-30T22:09:28.809427,Kellytown,OH,250000,"[""peacebuilding"", ""housing""]",7702,"[""volunteer""]",Amanda,Rodriguez
177,2020-04-18T12:02:31.457920,Arnoldland,CA,150000,"[""consumer protection"", ""land trust"", ""financial literacy""]",2879,"[""advocacy"", ""volunteer""]",Krystal,Andersen
178,2020-11-07T04:43:34.709084,East Andreamouth,CA,25000,"[""international development"", ""community development""]",342,"[""volunteer"", ""advocacy""]",Beth,Rose
179,2021-08-28T01:14:38.592260,Valenciaville,NY,75000,"[""hunger"", ""LGBTQ+ services"", ""workforce development""]",3427,"[""fundraise"", ""donate""]",Robert,Potter
180,2022-03-31T15:38:36.349413,New Jill,IL,75000,"[""financial literacy"", ""disaster relief"", ""legal aid""]",1282,"[""advocacy"", ""donate""]",Felicia,Rose
181,2024-02-27T23:49:42.053940,South Eric,WA,25000,"[""botanical gardens""]",1247,"[""donate""]",Rachel,Wilson
182,2021-02-09T13:04:42.031542,Alexanderchester,FL,75000,"[""workforce development"", ""consumer protection""]",3624,"[""donate""]",Jessica,Lamb
183,2020-05-06T15:56:36.956218,New Michelechester,WA,150000,"[""disability rights"", ""environment""]",7274,"[""fundraise"", ""volunteer""]",Christopher,Smith
184,2025-08-18T01:09:53.475950,Ryanland,NY,50000,"[""social justice"", ""wildlife"", ""legal aid""]",1572,"[""fundraise"", ""advocacy""]",Sheila,Ball
185,2022-09-18T11:36:06.488889,Rachelchester,TX,100000,"[""health"", ""workforce development""]",2692,"[""volunteer"", ""fundraise""]",William,Salazar
